Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-11-01T00:11:00+00:00,False,,51.731093,0.474512,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-01T00:11:00+00:00,False,,51.721375,0.464483,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2023-11-01T00:11:00+00:00,False,,51.721375,0.464483,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2023-11-01T00:11:00+00:00,False,,51.721375,0.464483,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T00:11:00+00:00,False,,51.731093,0.474512,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T00:11:00+00:00,False,,51.791002,0.627510,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2023-11-01T00:11:00+00:00,False,,51.791002,0.627510,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person and Vehicle search,2023-11-01T00:11:00+00:00,False,,51.721375,0.464483,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T01:11:00+00:00,False,,51.984391,0.213718,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T01:11:00+00:00,False,,51.984391,0.213718,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T02:11:00+00:00,False,,52.021947,0.250511,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T02:11:00+00:00,False,,52.021947,0.250511,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-01T03:11:00+00:00,False,,51.545367,0.684238,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T03:11:00+00:00,False,,51.574745,0.461794,Male,25-34,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Vehicle search,2023-11-01T03:11:00+00:00,False,,51.545367,0.684238,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.535359,0.721994,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T04:11:00+00:00,False,,51.576285,0.463408,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.536879,0.711528,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.535359,0.721994,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T04:11:00+00:00,False,,51.576285,0.463408,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.536879,0.711528,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.576151,0.461625,Male,over 34,Asian/Asian British - Indian,Other,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T04:11:00+00:00,False,,51.576151,0.461625,Male,over 34,Asian/Asian British - Indian,Other,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2023-11-01T05:11:00+00:00,False,,51.544143,0.710850,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T05:11:00+00:00,False,,51.544009,0.688168,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-01T05:11:00+00:00,False,,51.544143,0.710850,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T05:11:00+00:00,False,,51.544009,0.688168,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-01T07:11:00+00:00,True,,51.747946,0.113417,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T07:11:00+00:00,False,,52.008630,0.533777,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T10:11:00+00:00,False,,51.886968,0.932265,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T10:11:00+00:00,False,,51.886968,0.932265,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2023-11-01T10:11:00+00:00,False,,51.611168,0.574887,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T10:11:00+00:00,False,,51.611168,0.574887,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T10:11:00+00:00,False,,51.611168,0.574887,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T10:11:00+00:00,False,,51.611168,0.574887,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.732311,0.670986,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.625274,0.417383,Female,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Female,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Female,over 34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Male,25-34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Male,25-34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2023-11-01T11:11:00+00:00,False,,51.871727,0.554736,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T11:11:00+00:00,False,,51.729008,0.681393,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T14:11:00+00:00,False,,51.486555,0.283058,Female,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2023-11-01T14:11:00+00:00,False,,51.768482,0.096462,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T15:11:00+00:00,False,,51.739411,0.456990,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T15:11:00+00:00,False,,51.884717,0.933063,Male,,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2023-11-01T15:11:00+00:00,False,,51.739411,0.456990,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T16:11:00+00:00,False,,51.645519,0.616919,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T16:11:00+00:00,False,,51.887209,0.897123,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T16:11:00+00:00,False,,51.535345,0.790320,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T16:11:00+00:00,False,,51.729008,0.681393,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T16:11:00+00:00,False,,51.887209,0.897123,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T16:11:00+00:00,False,,51.535345,0.790320,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T17:11:00+00:00,False,,51.534122,0.791053,Female,10-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T18:11:00+00:00,False,,51.537830,0.797741,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2023-11-01T18:11:00+00:00,False,,51.537830,0.797741,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2023-11-01T19:11:00+00:00,False,,51.672181,0.099012,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T19:11:00+00:00,False,,51.876231,0.551519,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T19:11:00+00:00,False,,51.514958,0.286326,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T20:11:00+00:00,False,,51.876057,0.556202,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T20:11:00+00:00,False,,51.876057,0.556202,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2023-11-01T20:11:00+00:00,False,,51.509033,0.282570,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T20:11:00+00:00,False,,51.752983,0.446106,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T21:11:00+00:00,False,,51.571638,0.457283,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T21:11:00+00:00,False,,51.571638,0.457283,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-01T21:11:00+00:00,False,,51.625279,0.028753,,,,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Vehicle search,2023-11-01T22:11:00+00:00,False,,51.539805,0.728836,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-01T22:11:00+00:00,False,,51.605338,0.591368,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-11-01T22:11:00+00:00,False,,51.539805,0.728836,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T00:11:00+00:00,False,,51.545367,0.684238,Male,over 34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T00:11:00+00:00,False,,51.567475,0.476023,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T00:11:00+00:00,False,,51.542267,0.696661,Male,over 34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2023-11-02T00:11:00+00:00,False,,51.567475,0.476023,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T00:11:00+00:00,False,,51.567475,0.476023,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T00:11:00+00:00,True,,51.599003,0.524262,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2023-11-02T00:11:00+00:00,True,,51.599003,0.524262,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2023-11-02T00:11:00+00:00,True,,51.599003,0.524262,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Vehicle search,2023-11-02T00:11:00+00:00,True,,51.599003,0.524262,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2023-11-02T02:11:00+00:00,False,,51.534223,0.710837,Male,,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-11-02T02:11:00+00:00,False,,51.534223,0.710837,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T02:11:00+00:00,False,,51.534223,0.710837,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T02:11:00+00:00,False,,51.534223,0.710837,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-11-02T03:11:00+00:00,False,,51.886462,0.894589,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
