Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2024-05-01T18:05:00+00:00,False,,51.728888,0.477983,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Mixed,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T19:05:00+00:00,False,,51.725002,0.036227,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Vehicle search,2024-05-01T19:05:00+00:00,False,,51.725002,0.036227,,,,,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2024-05-01T21:05:00+00:00,False,,51.757106,0.110063,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T21:05:00+00:00,False,,51.757106,0.110063,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T21:05:00+00:00,False,,51.757106,0.110063,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T21:05:00+00:00,False,,51.757106,0.110063,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2024-05-01T22:05:00+00:00,False,,51.744884,0.396210,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Mixed,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2024-05-01T23:05:00+00:00,False,,51.738262,0.130274,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T23:05:00+00:00,False,,51.877603,0.550419,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T23:05:00+00:00,True,,51.877603,0.550419,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2024-05-02T00:05:00+00:00,False,,51.882277,0.925260,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2024-05-02T00:05:00+00:00,False,,51.882633,0.926475,Female,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T02:05:00+00:00,False,,51.873756,0.945237,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2024-05-02T06:05:00+00:00,False,,51.895141,0.268499,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-02T06:05:00+00:00,False,,51.886145,0.839341,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T07:05:00+00:00,False,,51.867403,0.557963,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-02T07:05:00+00:00,False,,51.867403,0.557963,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-02T07:05:00+00:00,False,,51.869674,0.559849,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-02T07:05:00+00:00,False,,51.867403,0.557963,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2024-05-02T10:05:00+00:00,True,,51.622056,0.070144,Male,,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2024-05-02T10:05:00+00:00,False,,51.569158,0.330244,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2024-05-02T10:05:00+00:00,True,,51.887065,0.903712,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T12:05:00+00:00,False,,51.739128,0.464044,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2024-05-02T13:05:00+00:00,True,,51.869776,0.582707,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2024-05-02T13:05:00+00:00,True,,51.869776,0.582707,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2024-05-02T13:05:00+00:00,False,,51.869776,0.582707,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2024-05-02T13:05:00+00:00,False,,51.869776,0.582707,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2024-05-02T13:05:00+00:00,False,,51.869776,0.582707,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2024-05-02T14:05:00+00:00,False,,51.875361,0.560085,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T14:05:00+00:00,False,,51.875361,0.560085,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T14:05:00+00:00,False,,51.875361,0.560085,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T14:05:00+00:00,False,,51.875361,0.560085,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T14:05:00+00:00,False,,51.875361,0.560085,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person and Vehicle search,2024-05-02T14:05:00+00:00,False,,51.884953,0.891586,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2024-05-02T18:05:00+00:00,False,,51.567363,0.491541,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-02T18:05:00+00:00,False,,51.569136,0.492735,Male,,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person and Vehicle search,2024-05-02T19:05:00+00:00,False,,51.605025,0.268521,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Vehicle search,2024-05-02T20:05:00+00:00,False,,51.493737,0.293576,,,,,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2024-05-02T20:05:00+00:00,False,,51.493737,0.293576,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2024-05-02T20:05:00+00:00,True,,51.528146,0.432303,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-02T20:05:00+00:00,False,,51.493737,0.293576,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person search,2024-05-02T20:05:00+00:00,False,,51.493737,0.293576,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2024-05-02T20:05:00+00:00,True,,51.528146,0.432303,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Vehicle search,2024-05-02T21:05:00+00:00,True,,51.493737,0.293576,,,,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Vehicle search,2024-05-02T21:05:00+00:00,True,,51.499697,0.295979,,,,,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
Person search,2024-05-02T22:05:00+00:00,False,,51.873090,0.554101,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
